itemname,contents
[1Table] 와규 함박스테이크,"냉동이라 기대 안했는데 

맛있어요 

재구매하겠습니다. 

"
모짜렐라 루꼴라 샐러드,"맛있어서 계속 시켜먹게 되네요 

가격 할인을 하니까 더 시켰어요 

"
모둠버섯 치킨 샐러드,"치킨이 부드러워서 

순식간에 다 먹었어요 

넘 맛있어요"
[1Table] 모짜렐라 김치 서울만두,"넘 맛있어요
겉은 바삭하면서 속은 촉촉해요

재구매 확정입니다"
[1Table] 갈비 낙지 볶음밥,"남편이 볶음밥을 이렇게 잘 먹을 줄 몰랐네요

최애볶음밥이에요"
[1Table] 갈비 낙지 볶음밥,"남편이 볶음밥을 이렇게 잘 먹을 줄 몰랐네요

최애볶음밥이에요"
새우 아스파라거스죽 (1인분),"맛있어서 또 시켜먹습니다.........ㅎㅎ

새우도 탱글탱글"
[1Table] 모짜렐라 김치 서울만두,"매일 퇴근하고 몇개씩 더 먹고 있어요 ㅎㅎㅎ.......
정말 맛있어요.....ㅎㅎ"
제주고사리 고추잡채&꽃빵 ,"넘 맛있게 잘 먹었어요!!!

벌써 3번째네요 .......맛있어서 또 시켜먹을거에요"
유근피 녹두 삼계죽 (1인분),"맛있어요.......ㅎㅎㅎㅎ

또 시켜먹을게요..........ㅎㅎ"
해초 전복죽 (1인분),"냉동으로 쟁여 놓고 

가끔 밥 없을 때 돌려먹기도 하고 편하네요

내용물이 많아서 비쌀까요 "
커리 치킨 샐러드,"정말 맛있어요 

그리팅 시킬 때 마다 꼭 주문하는 샐러드 입니다.

또 시킬 거에요"
커리 치킨 샐러드,"엄마 시켜드렸는데 

맛있으시다고 잘 드시네요

남녀노소가 즐길 수 있는 맛이에요"
[1Table] 우미학 차돌 깍두기 볶음밥,"맛있어요 

볶음밥이 가격이 좀 있어서 

고민이 됐는데 

시키길 잘했어요 맛있어요"
[1Table] 우미학 차돌 깍두기 볶음밥,"맛있어요 

볶음밥이 가격이 좀 있어서 

고민이 됐는데 

시키길 잘했어요 맛있어요"
제주고사리 고추잡채&꽃빵 ,"넘 맛있어요

반찬만 먹게 되네요 

정말 맛있어요

ㅎㅎ"
[vezzly] 좋은아침 모닝롤 (6입),"모닝빵이 짭쪼롬하니 맛있네요

먹으면서 침이 고여요 

맛있어요"
[1Table] 모짜렐라 김치 서울만두,"퇴근하자마자 와서 

이 만두부터 전자레인지 돌려요

넘 맛있고 치즈도 쫀득쫀득

김치도 적당히 시고 아삭아삭

정말 맛있어요"
제주고사리 고추잡채&꽃빵 ,"고추잡채 정말 좋아하는데 

꽃빵도 같이 있으니 넘 맛있어요

양이 많은데 너무 맛있어서 혼자 다 먹었네요

계속 시켜볼 예정이에요"
[1Table] 담양 죽순밥,"후라이팬에 볶을 때 기름을 좀더 두르고 볶았더니
훨씬 고소하고 맛있어요
자극적이지 않고 맛있어서 
아이들도 잘 먹네요"
[1Table] 담양 죽순밥,"후라이팬에 볶을 때 기름을 좀더 두르고 볶았더니
훨씬 고소하고 맛있어요
자극적이지 않고 맛있어서 
아이들도 잘 먹네요"
 아보카도&케일 스무디,"저랑 신랑은 맛있게 건강한 맛이라고 먹었는데..
아이들과 지인은 먹기 힘들어 하네요"
[vezzly] 비건식빵,"쫄깃하고 촉촉한맛이라
아침에 간단하게 꼬맹이와 함께 먹으면좋을거같아요"
[1Table] 와규 함박스테이크,"아빠의 요리솜씨(^^?)를 뽐낼 수 있는 건강한 재료의 맛난 주말식사 한끼로 아주 좋습니다. 야채를 살짝 곁들여 볶아 내니, 훌륭한 식사로 손색이 없네요~ 원재료도 아주 건강한 느낌입니다."
건강한 자장소스,"양도 4명이서 덮밥으로 먹었어요
소식 가족이라 가격까지 너무 착한 건강짜장
잘먹었습니다"
[1Table] 한우 육개장,한우육개장 건더기도 많고 고기양도 푸짐해서 가족들이 너무 좋아해서 계속 재구매합니다.
[1Table] 한우 육개장,한우육개장 건더기도 많고 고기양도 푸짐해서 가족들이 너무 좋아해서 계속 재구매합니다.
유근피 녹두 삼계죽 (1인분),"유근피녹두삼계죽 한끼 식사 대용으로 너무 좋습니다. 
맛도 좋고 영양 만점으로도 손색이 없습니다. "
[1Table] 모짜렐라 김치 서울만두,모짜렐라김치 서울만두 양도 푸짐하고 치즈양이 많아서 애들이 너무 너무 좋아합니다 
[1Table] 제주 흑돼지 갈비만두,"제주흑돼지갈비만두 진짜 맛있네요.
애들이 너무 너무 맛있다고 합니다. 또 사달라고 하네요"
[1Table] 한우 나주곰탕,한우 나주곰탕 국물 맛이 진하고 고기 양도 푸짐해서 너무 좋았습니다. 또 재구매 했어요 
[1Table] 한우 나주곰탕,한우 나주곰탕 국물 맛이 진하고 고기 양도 푸짐해서 너무 좋았습니다. 또 재구매 했어요 
[1Table] 한우 나주곰탕,한우나주곰탕 국물 맛이 진하고 일품입니다. 애들하고 가족들이 너무너무 좋아합니다.
[1Table] 한우 나주곰탕,한우나주곰탕 국물 맛이 진하고 일품입니다. 애들하고 가족들이 너무너무 좋아합니다.
[1Table] 한우 육개장,"한우육개장 국물 맛이 진하고 진짜 맛있게 먹었어요. 
한우 고기양도 푸짐합니다. 재구매 했어요 "
[1Table] 한우 육개장,"한우육개장 국물 맛이 진하고 진짜 맛있게 먹었어요. 
한우 고기양도 푸짐합니다. 재구매 했어요 "
[vezzly] 까사테라,"토기에 구운 까사테라 생각보다 더 맛있네요.
또 재구매 하고 싶어요 애들이 또 사달라고 하네요"
궁중 곤약 탕평채,"궁중곤약탕평채 생각보다 맛이 담백하고 깔끔합니다.
애들이 생가보다 좋아하네요"
매콤 꾸지뽕 닭살볶음 세트 ,심심하고 순한 맛 입니다. 음식 맛은 평범이상 이였어요.
강황 닭갈비 (2인분),맛은 괜찮았어요. 약간 심심하면서 순했는데 조금 퍽퍽하긴 했어요.
죽염 영광 참굴비 5호(10마리/900g),죽염영광참굴비 어버이날 선물로 주문했는데 굴비도 크고 간도 적당해서 어른들이 매우 만족했습니다 
[vezzly] 비건식빵,비건식빵 혼자 먹기에도 부담없는 양이라서 좋았고 잼발라서 먹으니 맛이 좋네요. 또 주문했어요 
[1Table] 냉이 된장찌개,화식한우냉이된장찌개  엄마가 직접 끓여준 맛이라서 맛있게 잘먹었습니다.  재구매 합니다
[1Table] 냉이 된장찌개,화식한우냉이된장찌개  엄마가 직접 끓여준 맛이라서 맛있게 잘먹었습니다.  재구매 합니다
구운채소 곡물 샐러드,구운 채소 곡물 샐러드로. 채소른 싫어하는데 맛나게 먹었습니다 ^^
리코타 허브감자 샐러드,리코타 허브 감자 샐러드로 직원들과 맛있는 점심식사 완료하였습니다 ^^
[1Table] 한우 나주곰탕,한우나주곰탕 또 재구매 했어요.  집에 가족들 입맛에 잘맞아서 힘들지않게 곰탕을 자주 먹습니다  ㅎㅎㅎ
[1Table] 한우 나주곰탕,한우나주곰탕 또 재구매 했어요.  집에 가족들 입맛에 잘맞아서 힘들지않게 곰탕을 자주 먹습니다  ㅎㅎㅎ
[1Table] 한우 육개장,한우육개장 국물 맛이 진하고 건더기 양도 푸짐해서 좋았습니다 그리고 한우 고기 양도 많습니다
[1Table] 한우 육개장,한우육개장 국물 맛이 진하고 건더기 양도 푸짐해서 좋았습니다 그리고 한우 고기 양도 많습니다
[1Table] 우미학 차돌 깍두기 볶음밥,우미학차돌깍두기볶음밥 간도 적당하고 요즘 바쁜 직장인한테 좋은 음식인 것 같습니다. 매우 만족합니다 
[1Table] 우미학 차돌 깍두기 볶음밥,우미학차돌깍두기볶음밥 간도 적당하고 요즘 바쁜 직장인한테 좋은 음식인 것 같습니다. 매우 만족합니다 
리코타&보리순커리,리코타보리순커리 영양적으로나 맛으로나 건강식으로 좋습니다. 맛있게 잘먹었습니다 
부드러운 닭가슴살 콥 샐러드,"부드러운닭가슴살콥샐러드 진짜 한끼 식사로 괜찮아요 
소스도 적당하고 맛도 좋습니다. 또 주문할려고요"
비트 무화과 타히니 샐러드,비트무화과타히니샐러드 무엇보다 채소 양이 푸짐하고 소스도 적당해서 한끼 식사로도 충분합니다
[1Table] 한우 나주곰탕,"한우 나주곰탕 진짜 국물이 진하고 맛있게 잘먹었습니다 
그리고 한우 고기양도 많아서 좋았습니다 "
[1Table] 한우 나주곰탕,"한우 나주곰탕 진짜 국물이 진하고 맛있게 잘먹었습니다 
그리고 한우 고기양도 많아서 좋았습니다 "
더 부드러운 돼지고기 장조림,더 부드러운 돼지고기 장조림 정말 돼지고기 너무너무 부드러워서 어른들이 좋아했습니다. 
미트 토마토 파스타,"미트토마토파스타 생각보다 맛이 좋았고 양도 적당해서
맛있게 잘먹었습니다.  특히 애들이 좋아해용 "
미나리 오징어 돼지불고기,미나리오징어돼지불고기 오징어 양이 진짜 많고 밥하고 먹으니 진짜 맛이 좋네요. 또 주문했어요 
소고기 숙주 부추볶음,소고기숙주부추볶음 소고기 양도 많고 간도 적당해서 밥 잔찬으로 맛있게 잘먹었습니다 
[사라베스] 오렌지 아프리콧잼,미국 뉴욕에 유명한 사라베스 오렌지 아프리콧잼을 집에서 주문해서 먹을수 있어서 감동입니다
죽염 영광 참굴비 5호(10마리/900g),"죽염영광참굴비5호 선물용으로도 손색이 없습니다. 
굴비크기도 크고 맛도 정말 좋습니다. "
연자육 마라샹궈 세트,그리팅 거의 다 맛있는데(후무스빼구) 얜 너무 맛없어요 ㅜㅜ 마라향이 이도저도 아니게 나는 것 같아서 별로예요 
미트 토마토 파스타,"미트토마토파스타 애들이 좋아해소 또 주문했어요. 
어른들도 좋아하는 맛이라서 외식 할 필요 없어요."
미트 토마토 파스타,"미트토마토파스타 애들이 넘 넘 맛있게 먹었다고 합니다. 
외식 갈 필요 없이 집에서 다시 해달하고 하네요"
볶음짬뽕,"볶음짬봉 푸짐하고 맛이 훌륭합니다.
애들이 넘 맛있게 먹었다고 다음에도 꼭 주문해달라고 하네요"
죽염 영광 참굴비 5호(10마리/900g),"죽염영광참굴비5호 정말 큼직하고 맛이 일품입니다. 
부모님 댁에 선물했는데 너무 좋아하십니다. "
[1Table] 명인명촌 화식한우 소불고기,명인명촌 화식한우 소불고기 소문대로 맛이 정말 좋습니다. 애들이 넘 넘 좋아합니다.  담에도 주문 할려고 합니다. 
[로이] 올리브오일 500ml,"올리브오일 정말 진하고 맛이 일품입니다.
빨에 찍어먹어도 보고 샐러드에도 정말 잘 어울립니다."
모둠 해초볶음,해초볶음 좋아하는 식구가 있어 여러 차례 재구매 중입니다. 간도 적당하고 입맛에 맞는지 그리팅 제품만 찾네요:) 
[1Table] 화식한우 사골곰국,"냉동 제품이라 오래 보관할 수 있어요.  양은 많지도 적지도 않은 편이며, 국물이 진하고 맛있어요:) "
[1Table] 화식한우 사골곰국,"냉동 제품이라 오래 보관할 수 있어요.  양은 많지도 적지도 않은 편이며, 국물이 진하고 맛있어요:) "
[1Table] 한우 쇠고기 미역국,국물이 진하고 미역도 부드러우며 맛있어요. 양은 국그릇 2인분 용량입니다
[1Table] 한우 쇠고기 미역국,국물이 진하고 미역도 부드러우며 맛있어요. 양은 국그릇 2인분 용량입니다
강황 닭갈비 (2인분),양이 꽤 많습니다. 매콤한데 자극적이지 않아 맛있어요:)
해초 전복죽 (1인분),"해초전복죽 맛있어요^^들기름도 따로챙겨주구요
간편하게먹을수있어서참좋아요"
[5월] 짬짜면 패키지 ,"직접 해먹었는데 양두 많고 건강한맛이구요
면도 에그누들이라 시켜먹는것 보다 졸맛탱"
[1Table] 장조림 버터 볶음밥,이게 볶음밥중에 제일 맛있는가같아요 특히 버터향이 너무 좋고 맛있음
[1Table] 장조림 버터 볶음밥,이게 볶음밥중에 제일 맛있는가같아요 특히 버터향이 너무 좋고 맛있음
리코타 허브감자 샐러드,역시 언제먹어도 맛있네요 특히 바나나샐러드드레싱이 신의한수!
닭다리살구이,맛있어요 살짝 비린맛이 올라오긴 했는데 그래도 은근 양많고 실해요
[1Table] 담양 죽순밥,"기름에 살짝 볶으면 고슬고슬한 밥과 죽순의 향이 어울어져 맛이 좋아요
"
[1Table] 담양 죽순밥,"기름에 살짝 볶으면 고슬고슬한 밥과 죽순의 향이 어울어져 맛이 좋아요
"
매운 해물죽 (1인분),"매운해물죽 당연히 맛있겠죠~
낙지김치죽도 맛있으니깐요
기대됩니다"
[5월] 짬짜면 패키지 ,"짜장소스 담백하네요!개인적으로는 짬뽕이 더 맛있네요!! 그런데 면이 조금 아쉬워요
냉동면이었으면..탱글이 아니여서"
유근피 녹두 삼계죽 (1인분),"다른 죽과 같이 주문했는데
아직 먹진 않았지만 기대됩니다!  "
낙지 김치죽 (1인분),"죽은 낙지 김치죽입니다
양이 적어 아쉽지만 맛있습니다!"
[1Table] 화식한우 사골곰국,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~

맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
[1Table] 화식한우 사골곰국,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~

맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
매콤 마늘종 어묵볶음 ,"맛있는 그리팅 감사드립니다 ~~~~~~~~~

맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
제주고사리 오리 들깨볶음 ,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
민들레 삼채 겉절이,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
강황 닭갈비 (2인분),"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
아마란스 진미채무침 ,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~

맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
버터 진미채볶음 ,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
미나리 오징어 돼지불고기,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~

맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
[1Table] 한우 잡채볶음밥,전통 잡채와 소고기. 고슬고슬한 밥이 맛이 있어 또 주문하여 먹었습니다.
[1Table] 한우 잡채볶음밥,전통 잡채와 소고기. 고슬고슬한 밥이 맛이 있어 또 주문하여 먹었습니다.
더 부드러운 LA갈비,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~


맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
[1Table] 화식한우 사골곰국,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
[1Table] 화식한우 사골곰국,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
아마란스 진미채무침 ,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~

맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
소고기 숙주 부추볶음,"맛있는 그리팅 감사드립니다 ~~~~~~~~~~
맛있는 그리팅 감사드립니다 ~~~~~~~~~~"
[vezzly] 밀푀유 식빵,"요즘 유행하는 식빵처럼 부드럽고 폭신 폭신하진 않아요. 
하지만 첨가물이 조금 덜 들어 갔을 꺼라 생각합니다."
비트 생깻잎지,맛은 좋은데 비트가 많이 들어가 있지는 않아서 그냥 깻잎지같아요 양이 좀 적어요
구운채소&오징어 샐러드,"그리팅 샐러드 중 제일 좋아하는 샐러드 입니다. 
좀더 다양한 종류의 샐러드 가 나왔으면..."
[vezzly] 밀푀유 식빵,몽블랑같은 재질이네요 덜 달고 부드러워서 겹겹이 뜯어먹기만 해도 맛나요
[1Table] 냉이 된장찌개,간편한 조리에 맛도 기대이상의 수준급이라서 강추하는 음식임
[1Table] 냉이 된장찌개,간편한 조리에 맛도 기대이상의 수준급이라서 강추하는 음식임
연자육 돼지불고기 세트 ,가게 근처 매식이나 도시락 보다 그리팅 매우 편리하고 좋음. 그런데 단골로 매주 배송 하거나 정기적 고객이 되면 조금 다른 대우?  필요하지 않을까
이탈리아식 닭볶음 세트 ,가게 근처 매식이나 도시락 보다 그리팅 매우 편리하고 좋음. 그런데 단골로 매주 배송 하거나 정기적 고객이 되면 조금 다른 대우?  필요하지 않을까
여주 소불고기 세트,가게 근처 매식이나 도시락 보다 그리팅 매우 편리하고 좋음. 그런데 단골로 매주 배송 하거나 정기적 고객이 되면 조금 다른 대우?  필요하지 않을까
해산물 토마토볶음 세트 ,적정한 칼로리 슴슴한 향에 자연스러운 맛. 정확한 배송.특히  매주 바뀌는 아이템이 너무 좋습니다.
매운 해물덮밥소스 세트 ,적정한 칼로리 슴슴한 향에 자연스러운 맛. 정확한 배송.특히  매주 바뀌는 아이템이 너무 좋습니다.
제주고사리 두부조림 세트 ,적정한 칼로리 슴슴한 향에 자연스러운 맛. 정확한 배송.특히  매주 바뀌는 아이템이 너무 좋습니다.
포두부 새우 샐러드 세트,포두부랑 새우 잘 어울리는 맛이었어요 식감도 괜찮았고 여러모로 맛 좋았습니다 
모짜렐라 루꼴라 샐러드 세트,담백하고 맛 좋았어요 ! 루꼴라의 신선한향도 느껴지고 좋았습니다 !
미역&조갯살 스프 (1인분),클램차우더 같은 맛은 나지는 않았지만 담백하게 먹었습니다 
오리불고기 향채 샐러드 세트 ,소불고기랑 다른 색다른 맛이었어요 한번씩 생각 날듯한 맛입니다 
분짜 샐러드 세트,생각했던 맛은 아니였는데 그래도 맛있게 먹을만 했습니다 
멕시칸 타코 샐러드 세트,타코랑 신선한야채랑 잘 어울리는 메뉴였어요 간편식으로 좋은거 같아요 .
과콰몰리 돌나물 샐러드 세트,새로운 메뉴라서 신선하게 느껴졌어요 맛도 이름만큼이나 신선하고 좋았습니다 
보리순 그린커리 세트 ,"건강하고 맛있는 식단을 발견해서 기쁜마음으로 몇주 시켜먹었는데 이번에 썩은 마늘이 들어있어서 너무 역겨？어요 고객센터의 대응도 너무 실망스럽네요. 상한마늘이 들어간건아닌지, 이미 먹어서 걱정스러워 문의했더니 처음에는  사진상으로는 정확한 상태나 사유파악이 어렵고 부분환불받으라더군요. 환불받는것보다 먹어도 되는건지 걱정된다고 했더니 그제서야 담당부서에 확인해보겠다하고 상한마늘이 아니라고 하네요. 처음에는 사진상으로는 파악안된다더니 담당부서에서는 어떻게 사진상으로 상한건 아니라고 확인했을까요? 신뢰가 안가네요. 결국 환불은 안받았고 너무 불쾌하고 믿음이 안가서 다시시키진 않을거같아요."
당귀 제육볶음 세트,"건강하고 맛있는 식단을 발견해서 기쁜마음으로 몇주 시켜먹었는데 이번에 썩은 마늘이 들어있어서 너무 역겨？어요 고객센터의 대응도 너무 실망스럽네요. 상한마늘이 들어간건아닌지, 이미 먹어서 걱정스러워 문의했더니 처음에는  사진상으로는 정확한 상태나 사유파악이 어렵고 부분환불받으라더군요. 환불받는것보다 먹어도 되는건지 걱정된다고 했더니 그제서야 담당부서에 확인해보겠다하고 상한마늘이 아니라고 하네요. 처음에는 사진상으로는 파악안된다더니 담당부서에서는 어떻게 사진상으로 상한건 아니라고 확인했을까요? 신뢰가 안가네요. 결국 환불은 안받았고 너무 불쾌하고 믿음이 안가서 다시시키진 않을거같아요."
고추잡채 덮밥 소스 세트,"건강하고 맛있는 식단을 발견해서 기쁜마음으로 몇주 시켜먹었는데 이번에 썩은 마늘이 들어있어서 너무 역겨？어요 고객센터의 대응도 너무 실망스럽네요. 상한마늘이 들어간건아닌지, 이미 먹어서 걱정스러워 문의했더니 처음에는  사진상으로는 정확한 상태나 사유파악이 어렵고 부분환불받으라더군요. 환불받는것보다 먹어도 되는건지 걱정된다고 했더니 그제서야 담당부서에 확인해보겠다하고 상한마늘이 아니라고 하네요. 처음에는 사진상으로는 파악안된다더니 담당부서에서는 어떻게 사진상으로 상한건 아니라고 확인했을까요? 신뢰가 안가네요. 결국 환불은 안받았고 너무 불쾌하고 믿음이 안가서 다시시키진 않을거같아요."
[vezzly] 좋은아침 모닝롤 (6입),"쫄깃쫄깃 고급스러운 맛이네요.
현대백화점 빵인데 배달이되니 좋네요."
소고기 숙주 부추볶음,"소고기와 숙주가 잘 어울리고, 소스맛이 좋았어요. 밥이랑 비벼먹어도 좋아요"
[1Table] 담양 죽순밥,죽순이 많이 들어있고 간편하게 먹기좋게 포장되어 좋았어요~~~
[1Table] 담양 죽순밥,죽순이 많이 들어있고 간편하게 먹기좋게 포장되어 좋았어요~~~
[1Table] 모짜렐라 김치 서울만두,치즈가 풍부하게 들어있고 맵지않아 아이들이 좋아해요~~~
[1Table] 존쿡 델리미트 부대찌개,"햄이 고급스럽고 좋은데, 김치맛이 좀 부족하네요. 집김치로 간을 하면 되네요."
[1Table] 존쿡 델리미트 부대찌개,"햄이 고급스럽고 좋은데, 김치맛이 좀 부족하네요. 집김치로 간을 하면 되네요."
[1Table] 우미학 차돌 깍두기 볶음밥,간이 적당하고 차돌박이 소고기도 많이 들어있어 맛있어요.
[1Table] 우미학 차돌 깍두기 볶음밥,간이 적당하고 차돌박이 소고기도 많이 들어있어 맛있어요.
우엉 고기완자,"고기가 많이 들어있고, 우엉과 조화로운 맛이 좋았어요..."
궁채나물볶음,아삭아삭 쫄깃쫄깃한 식감에 들깨소스맛이 정말정말 고소해요~~~~
상하이 두부면볶음 ,두부면이 쫄깃하고 포만감있는데 칼로리도 높지않아 다이어트에 좋아요
리코타치즈 바나나 샐러드 세트 ,내용물도 충분하고 건강한 느낌에 매우 만족했습니다~!!!
무화과 비트 타히니 샐러드 세트 ,내용물도 충분하고 건강한 느낌에 매우 만족했습니다~!!!
닭안심 미나리페스토 샐러드 세트 ,내용물도 충분하고 건강한 느낌에 매우 만족했습니다~!!!
오리 향채소 불고기 세트,내용물도 충분하고 건강한 느낌에 매우 만족했습니다~!!!
[vezzly] 까사테라,정말 맛있는 카스테라 입니다 굳굳 재구매 의사 있어요 최고에요
상하이 두부면볶음 ,"두부면이라 그런지 식감이 색다르네요
양념이 맛있어서 밥반찬으로 먹었어요"
율무 단호박 샐러드,그리팅에서 샐러드는 다들 평타 이상은 하는듯. 계속 시키게 되네요
참취나물무침 ,간도 적당하고 맛있게 무친 나물입니다. 두끼 정도 먹었어요
과카몰리 쉬림프 샐러드 세트 ,"통통한 새우랑 아보카도과카몰리랑 다 맛있어요
칼라만씨 드레싱이 상큼해서 넘 샐러드랑 잘 어울려요
옆에 그라탕도 같이 먹으니까 생각보다 배불러요
"
유근피 녹두 삼계죽 (1인분),"우와 진짜 짱맛있어요^^
담백하고 엄청 되직해서 배불러요
보양식 먹는것 같아요~!!
"
해초 전복죽 (1인분),든든하고 맛있어요. 곁들이는 들기름도 향이 너무 고소하고 좋네요.
[5월] 짬짜면 패키지 ,"짬뽕 첨가물 안넣은거 맞나요?
진짜 맛있는데 건강하기까지~~
안에 해산물도 엄청 많았어요!!!"
유근피 녹두 삼계죽 (1인분),"닭고기가 아주 가늘게 찢어 들어 있어 먹기 좋습니다. 
곁들이는 들기름 향도 너무 좋아요."
치킨스테이크 퀴노아 샐러드 세트 ,"치킨스테이크 부러럽고 소스가 맛있어요
옆에 채소구이를 샐러드에 넣어먹으니까 맛있어요
검정색범벅이 엄청 고소하고 달달한 흑임자떡같아요~!!
이 샐러드 포만감이 높아서 좋아요."
닭다리살구이,"마늘맛이 맛있는 닭고기에요.
전자레인지에 1분 30초만 데우면 된다고 하지만
저는 좀더 확실히 읽혀 먹으려고 후라이판에 앞뒤로 한번 더 구워 먹었습니다. 고기가 부드럽고 소스 맛있어요."
리코타치즈 바나나 샐러드 세트 ,"
바나나 드레싱이 달콤하고 상큼해서 맛있어요~
리코타치즈랑 잘 어울리네요~
리코타 치즈가 생각보다 많아서 좋았어요!
옆에 바질페스토 감자도 짱맛^^"
부드러운 닭가슴살 콥 샐러드,"살이 쪄서 저녁으로 먹으려고 구매했는데
양도 많고 든든해요
맛있어요"
모둠 해초볶음,"모듬해초볶음이라서 다른 맛인 줄 알았는데, 미역줄기 볶은 것과 같은 맛이네요. 제 입맛에는 간이 맞았는데, 다른 식구들은 심심하다고 합니다. 한끼 먹을 반찬 양입니다.배송 빨라서 좋아요."
[1Table] 존쿡 델리미트 부대찌개,"소세지가 특히 맛있어요. 국물도 진하고요. 2인이 먹기엔 적고, 1인이 먹기에는 많은 양 같아요. 집에 있는 햄 더 넣고, 사골국물 넣어서 2, 3인이 먹어도 좋을 것 같습니다. 배송 빨라서 좋아요."
[1Table] 존쿡 델리미트 부대찌개,"소세지가 특히 맛있어요. 국물도 진하고요. 2인이 먹기엔 적고, 1인이 먹기에는 많은 양 같아요. 집에 있는 햄 더 넣고, 사골국물 넣어서 2, 3인이 먹어도 좋을 것 같습니다. 배송 빨라서 좋아요."
탄두리 닭살 샐러드 세트,맛있어서 또 시키려구요. 든든하기두 합니다!!ㅎㅎㅎㅎㅎ
비트 생깻잎지,보통 깻잎지 자극적이고 맵고 빨갛고 그런데 이건 적당히 간 되어있고 비트와 깻잎향이 조화가 잘되어서 건강한 집반찬 입니다. 집에 늘 쟁여두고 싶은 반찬이네요
리코타 허브감자 샐러드,드레싱이 좀 새로운? 어려운 맛 이었던거 같아요 제입맛엔 안맞아서 그냥 집에잇는 올리브유와 발사믹에 먹었더니 훨씬 맛있었습니다 ! 리코타 치즈 양 많아서 좋음요 (？？？？？？)？ 
볶음짬뽕,상품평이 좋고 프로모션으로 짜장면을 준다고 해서 구매했어요 
콜리플라워 치즈그라탕,양이 너무 적어서 그렇지만 간식용으로 먹기에 맛있고 좋았어요 
[vezzly] 방콕 세트,구성이 골고루 맛볼수 있게 되어 있어서 정말 좋더라구요 
[5월] 키즈 패키지 ,"키즈패키지임에도 불구하고 볶음짜장은 끝맛이 매워서 애들이 못 먹고 해물양은 많으나 맛이 ‥‥
아이들이 미트파스타는 소스양이 적어서 버무려지지않았고 아이들이 비주얼보고 안먹겠다고 했네요 
키즈패키지 중에서 유일하게 맛있다고 한 미미카스테라만 만족합니다
 "
모짜렐라 루꼴라 샐러드,"식감이 좋아요 샐러드 드레싱도 찰떡!!!
자주 시켜먹게 될 것 같아요"
리코타 허브감자 샐러드,"양이 생각보다 꽤 많아서 한끼 식사로 GOOD
완전 추천합니다!!!!"
[1Table] 한우 쇠고기 미역국,"국물이 참 맛있어요
고기도 많고 알차네요
다른곳에서 주문한 미역국보다 자극적이지 않아서 참 좋네요"
[1Table] 한우 쇠고기 미역국,"국물이 참 맛있어요
고기도 많고 알차네요
다른곳에서 주문한 미역국보다 자극적이지 않아서 참 좋네요"
미역&조갯살 스프 (1인분),"부드럽고 조갯살 향이 가득하여 맛있게 먹었습니다.
바다향이 가득한 스프 좋아요."
해초 전복죽 (1인분),"부드러운 전복 맛이 좋아 맛있게 잘 먹었습니다.
먹고 난 후 든든하여 좋았습니다."
새우 아스파라거스죽 (1인분),"새우아스파라거스죽
부드럽고 새우 맛을 느끼면서 잘 먹었습니다.
"
닭다리살구이,"너무 맛있어요 가격대비 최고만족이요
무엇보다 너무 간편합니다.
전자렌지에돌려서 크게기대안했는데
반전의맛이..."
강황 닭갈비 (2인분),"이건 잘 나온 요리입니다
넘 맛있어요
배송도 신선도도 좋습니다"
미트 토마토 파스타,"정말 맛있어요
근데 양이 넘 적어요
찔끔 먹다만 느낌입니다
많이 주세요"
[에르베로씨] 피치잼,"늘 딸기쨈맛 먹다가 간만에 색다른 잼을 사서
먹었어요
좋네요"
[vezzly] 황금식빵,"종종 식빵을 구워 먹는데
이건 진짜 맛있어요
짱입니다 배송도 깔끔합니다"
볶음짬뽕,"바로 조리해서 먹을수 있어서
좋네요 울 아들이 두개나 먹었어요"
강황 닭갈비 (2인분),"맛도 내용물도 좋아요
자주 시켜서 애들 반찬으로 주고 있어요"
제주고사리 오리 들깨볶음 ,"울 애들이 잘 먹어요
근데 여름이라 들깨땜에
잘 상할수도 있겠네요"
